50|Through Her Eyes - Marti Smith|1-932805-07-9| 15.00 |11.25
48|Troubled Journey - Faith Cook|978-0-85151-878-7|15|11.25
49|To a Different Drum - Pauline Hamilton|9971838397| 9.00 |6.75
50|To What Purpose - E. Fischbacher|| 6.00 |4.5
51| Unbound - Jennifer Su McIntyre |978-1-929122-44-8| 12.00 |9
49|Under His Wings - A.C. Lawless|9717240671| 20.00 |15
50|Under His Wings  A Story of Hope - Karen Louise|9781484145746| 12.00 |9
51|Under His Wings  Bible Study Guide - Karen Louise|9781484194577| 6.00 |4.5
52|Vietnam's Christians - Reg Reimer|978-0-87808-304-6| 13.00 |9.75
50|Who Is My Neighbour? - Goldsmith & Harley|1850784558| 14.00 |10.5
51|Whom God Has Joined - I. Kuhn|1-92912-211-X| 10.00 |7.5
52|Your Church Can Make a World of Difference - A. Webb|957877943| 15.00 |11.25
53|Buddhism Through Christian Eyes - Alex Smith|1929122101| 6.00 |4.5
51|Christ's Hands - Canadian version|978-1-929122-349| 4.00 |3
52|A Christian's Evangelistic Pocket Guide to Islam|978-1-85792-915-7| 6.00 |4.5
53|A Christian's Pocket Guide to Buddhism|978-1-84550-526-4| 6.00 |4.5
54|A Christian's Pocket Guide to the Chinese|9781845503154| 6.00 |4.5
52|A Christian's Pocket Guide to the Japanese|9781845503154| 6.00 |4.5
53|Courage in Dark Places - J. Greenough|1-85424-584-8| 2.00 |1.5
54|Faith in Tough Places - J. Greenough|1854245856| 2.00 |1.5
55|Live to be Forgotten DE Hoste - Patrick Fung|9-789628-402120| 5.00 |3.75
53|Myths and Missionaries - Mike McGinty|957877900| 6.00 |4.5
54|One World, Two Minds - Denis Lane|6513009711| 6.00 |4.5
55|Prayer in Hard Places - J. Greenough|1-85424-583-X| 2.00 |1.5
56|Prayer of Faith - J.O. Fraser|978-0-85363-106-4| 5.00 |3.75
54|Scenes from Killing Fields, Living Fields – Don Cormack|853638011| 2.00 |1.5
55|Spirit of Eric Liddell - D. Michell|9813009063| 2.00 |1.5
56|Understanding Muslim Misunderstandings - Hahn|| 2.00 |1.5
57|Your Muslim Guest -  Fellowship of Faith|| 2.00 |1.5
55| God’s Adventurer - P. Thompson |9971972514| 7.00 |5.25
56| Gods Must be Angry - S. Miller/ I. Murray |9-97197-293-X| 5.00 |3.75
57| Home at Last || 6.00 |4.5
58| Granny Han’s Breakfast - S. Graves |9971972336| 5.00 |3.75
56| Hudson Taylor and the Great Impossible - Jojie Wong |978-971-009-437-0| 4.00 |3
57| Ian & Giant Leafy Obstacle - S. Miller |9971837900| 3.00 |2.25
58| Mission Zone - Mark & Joanne Ellis |1857924460| 12.00 |9
59| New Toes for Tia - Larry Dinkins |9-97197-259-X| 5.00 |3.75
57| Tall Pine Mystery - Nan Doerksen |973183306| 6.00 |4.5
58| The Promise - Mary Teegardin |1929122160| 9.00 |6.75
59| When Everything is Different |9789628666072| 10.00 |7.5
60| Breakthrough DVD - James O. Fraser|| 5.00 | 3.75 
58|  China Resource Packet Videos and PowerPoint DVD || 4.00 | 3.00 
59| HT Bookmarks Set A  (Taxes Incl.) || 3.00 | 2.25 
60| HT Bookmarks Set B  (Taxes Incl.) || 3.00 | 2.25 
61| Video - J H Taylor - Ken Anderson Films  || 27.00 | 20.25 
59| Video - J H Taylor - Mandarin - K. Taylor  || 27.00 | 20.25 
60| Video - J H Taylor – Cantonese - K. Taylor || 27.00 | 20.25 
61| CD - A Boys War - D. Mitchell || 20.00 | 15.00 
